ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
N-Gage,0,1,0.0,1,0,,1413578608,1413578699
N-O-D-E,0,1,0.0,1,0,,1431984623,1432016821
N-TA,0,1,0.0,0,3,"www.techaccelerator.com \nTechAccelerator is at the forefront of helping companies adopt new Enterprise Technologies in an evolved world. IT professionals need to experience and interact with a solution, not just read about its benefits. We make this possible through our web-based platform which provides custom virtual environments to showcase technologies and a hands-on approach to customer education and solution integration. We help publicly traded technology manufacturers, as well as some of Silicon Valley&#x27;s hottest startups, pitch their solutions and drive sales.<p>As a young company with an energetic distributed team, focused on delivering with efficiency, TechAccelerator is an ideal place for people who are are eager to learn a variety of technologies and solve complex problems with elegant solutions. We&#x27;re looking for great people who want to be part of a high performing team.",1427933375,1427933877
n-alexander,0,1,0.0,0,1,,1191852273,1191852273
n-dream,0,1,0.0,1,0,,1316438542,1452896759
n-exploit,,7,0.0,0,8,,1418218886,1452545521
n-gauge,,15,0.0,0,43,"Creating stuff in html5, piano music, lego, cardboard and fun",1337293183,1450561362
n-ion,0,22,0.0,0,11,"http://www.neillarion.com\n@nlarion",1288736093,1452890491
n-mx,0,3,0.0,0,1,,1357055238,1452908561
n-named,0,318,2.0,10,20,,1251909109,1452888316
n-s-f,0,34,0.0,0,0,,1435776764,1453170940
