ID,Karma,About,Created,Updated
UofFree,-2,,1309799767,1452894811
uoaolgha,1,,1343371999,1452904884
uobubu,2,,1252590757,1452888344
uofinson,1,,1321943014,1452898517
uofitorn,1,,1341975778,1452914414
uofm34,1,,1382483107,1452917578
uofmihnea,11,,1421361684,1453168985
uoftnews,3,,1344070767,1452905063
uogecko,13,,1364182241,1452911355
uokesita,6,,1294465060,1452892069
uokyas,8,,1353098307,1450207814
uolhost,1,,1285092423,1452890056
uolot,1,dev,1332531585,1450207814
uomoinpolvere,1,,1317775549,1452897385
uonce,5,,1312250650,1452895525
uonyechi,1,,1354433873,1450207814
uonyx,65,,1385735396,1450207814
uoou,49,,1362912397,1450207814
uopnuiyb,5,,1252168397,1452888316
uotnr,6,,1370655709,1452913379
uououuttt,52,,1446352484,1453173439
uouv,1,,1399664627,1452924822
uovidiu,2,,1341413133,1452904250
uown,1,,1347706720,1452906134
uoziod,2,,1418122455,1450267840
