ID,Karma,About,Created,Updated
J335,1,,1221022932,
J3L2404,10126,"Meditation on inevitable death should be performed daily.",1259501282,
J3ff0,1,,1368649317,
J3nnings,11,,1235762789,
j3,168,,1240244101,1450207814
j3097736,2,,1453760684,1454885143
j30chen,1,,1337820737,1450207814
j3116294,2,,1453795224,1454885143
j3_d1,3,,1424444790,1453167003
j3ali,-9,,1394466820,1450207814
j3andidier,2,"Developer/Consultant from Burundi, Africa.",1328286753,1450207814
j3fft,13,"I like monkeys.<p>The pet store was selling them for five cents a piece. I thought that odd since they were normally a couple thousand each. I decided not to look a gift horse in the mouth. I bought 200. I like monkeys.",1232638399,1452888115
j3g,0,,1262294366,1452888767
j3h,6,,1229485286,1450207814
j3kuntz,17,,1269624639,1450207814
j3lunt,2,,1284767196,1452890023
j3persson,-1,,1438061325,1453171093
j3sinclair,1,,1437959710,1453171642
