ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
HJJ,0,1,0.0,0,1,,1412519115,
HJones,0,2,0.0,2,0,,1274248013,
Hjalte,0,1,0.0,1,0,,1443778139,1443778245
Hjklmnop,0,1,0.0,0,1,,1388789715,
Hjugo,0,63,0.0,4,3,,1440415396,1452610619
Hjulstrom,0,8,0.0,0,0,,1453104563,1453282983
hj01kkk,0,1,0.0,1,0,,1303704045,1452893476
hjAETGHs,,2,0.0,0,1,,1419907148,1450267840
hjacobs,0,2,0.0,0,0,"STUPS Hacker @ Zalando Technology<p>https://twitter.com/try_except_",1429603044,1453173376
hjalle,,219,1.92593,1,35,,1282935063,1450207814
hjalli,0,1,0.0,0,1,,1297064907,1452892263
hjalmarsson,0,3,0.0,1,1,,1328122707,1452902981
hjaltij,,13,0.0,1,9,"I'm a developer, co-founder and a tech enthusiast working and living in Reykjavik, Iceland.",1300380322,1450207814
hjast,0,1,0.0,1,0,,1294005850,1452915229
hjaved,,9,0.0,2,0,,1324932691,1450207814
hjay,0,158,2.0,11,69,"Freelance web developer based in Vancouver, B.C\nCo-founder of windows7center/windows8center (2008-2011)<p>http://jayhuang.org\nhttp://jayhuang.org/blog",1351781264,1452907085
hjb1021,0,1,0.0,2,0,,1330157534,1452900295
hjbarraza,0,1,0.0,1,0,"Savvy Technologist and thoughtful idealist specialized in emerging technologies, open innovation and knowledge management. Always with a deep drive to create interesting and ground breaking solutions to benet, its peers and societies as a whole, minding for sustainable future, social development and progress.",1235149930,1452888316
hjbuchanan,,4,0.0,2,5,,1386692714,1450207814
hjc,0,3,0.0,3,0,,1315257789,1452896423
hjc89,,281,0.0,17,1,,1376400304,1450207814
hjcrbwg,0,2,0.0,1,0,,1352673757,1452907279
hjdevries,0,1,0.0,0,1,,1371039870,1452913626
hjdivad,,19,0.0,0,1,,1238770032,1450207814
hjejinnjkd,0,-3,0.0,0,0,,1437500123,1453170924
hjek,,41,0.0,1,28,,1379273782,1452810380
hjeldin,0,8,0.0,0,0,,1421104001,1453166109
hjelmstrom,0,1,0.0,0,2,,1222370382,1452886573
hjennerway,,1,0.0,0,2,"A self certified baker and .NET geek from England. I also have experience with iOS and a slew of other technologies.",1412769704,1450207814
hjfdd,0,1,0.0,1,0,,1322149064,1452898553
