ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
OiCMudkips,0,1,0.0,1,0,,1399677247,1415506125
OiNutter,0,20,0.0,6,12,,1313445097,
OisinMoran,0,1,0.0,0,1,,1424464985,1426453331
oi-sendai,0,1,0.0,0,0,,1428751628,1453168066
oi2zgafbxm,0,1,0.0,1,0,,1311558553,1452895305
oi3jgo3jig,0,1,0.0,0,1,,1391729180,1452921306
oi4dwafbxm,0,1,0.0,1,0,,1312261161,1452895525
oi8qxffag,0,1,0.0,1,0,,1311554660,1452895225
oiajsodijsa,0,1,0.0,0,2,,1369721988,1452912967
oib,,63,0.0,0,14,,1358524386,1450207814
oibro,0,1,0.0,1,1,,1392958368,1452921656
oiciruam,0,2,0.0,1,1,,1347732020,1452906134
oidar,0,12,0.0,0,4,,1398011114,1452927690
oidipusss,0,1,0.0,0,1,,1301831768,1452893181
oidlkwdlkwqdn,0,11,0.0,0,0,,1451765604,1453174917
oiduts,,8,0.0,1,2,,1407144604,1450207814
oigftrgtyh,0,27,0.0,0,5,,1297287615,1452892334
oigursh,0,4,0.0,0,0,,1423353355,1453165916
oihujyfgthyjuik,0,39,0.0,0,6,,1300915887,1452892847
oihuyjfrgtdfghj,0,-22,0.0,0,10,,1283353018,1452889908
oihwoefi,0,2,0.0,0,1,,1264497212,1452888767
oijaf888,0,330,2.59090909090909,3,264,,1333488674,1452901400
oijfpoiewf,,2,0.0,0,2,,1419445912,1450267840
oijmuin,0,1,0.0,0,0,,1253201698,1452888344
oikjbniojszdio,0,1,0.0,0,1,,1323777805,1452898858
oikjhgbpokj,0,7,0.0,0,8,,1302705241,1452893324
oikjuhgbhn,0,3,0.0,0,1,,1264972744,1452888810
oikos,0,3,0.0,0,0,,1410560190,1453172653
oikujhgfvg,0,11,0.0,0,0,,1258386674,1452888557
oikujhghjk,0,1,0.0,0,1,,1297640890,1452892334
oikujhyghjm,0,13,0.0,0,0,,1259544843,1452888609
oilOnMyFoil,0,1,0.0,1,0,,1408503369,1452929540
oilandwater,0,1,0.0,0,1,,1405517504,1452927535
oilbeater,0,9,0.0,0,0,,1427000834,1453167406
oilclaimsus,0,1,0.0,1,0,,1343214753,1452904814
oilcovereddoll,0,2,0.0,1,0,,1275122617,1452889278
oiledCode,0,1,0.0,0,1,,1322566975,1452898583
oilfieldtrash,0,1,0.0,0,1,,1274561026,1452889277
oilg,0,2,0.0,0,0,,1429543159,1453168333
oillio,,247,2.80556,3,55,,1211320227,1448852436
oilman,0,6,0.0,0,0,,1427387645,1453167533
oiln93ftr,0,1,0.0,1,0,,1313111585,1452895755
oilthrowaway,0,3,0.0,0,0,,1450799518,1453174714
oilysakam,0,1,0.0,2,0,,1318313615,1452898063
oilytheotter,,9,0.0,0,9,,1309459627,1450207814
oilywater,0,20,0.0,0,0,,1452333408,1453175104
oimaz,,51,0.0,0,28,,1412916520,1450207814
oims2011,0,1,0.0,2,0,,1309951239,1452894811
oinbar,0,1,0.0,0,0,,1441373407,1453172093
oingo,0,2,0.0,0,0,,1430360560,1453168610
oink,0,19,0.0,0,0,,1251729245,1452888316
oinker,0,1,0.0,0,1,,1314811573,1452896359
oinkgrr,,207,0.0,25,6,,1341985734,1452088950
oinknotramen,0,2,0.0,0,1,,1337114928,1452905299
oinkoink,0,1,0.0,0,1,,1304981001,1452893643
oinksoft,,3701,1.54545,38,837,http://www.oinksoft.com/,1303402577,1452472871
oinnaville,0,1,0.0,1,0,,1309945220,1452894717
oinopion,0,21,0.0,3,21,http://hackernewsers.com/users/oinopion.html,1256592779,1452888647
oinstrument,0,1,0.0,2,0,,1343287799,1452904884
oiplo,0,1,0.0,1,0,,1369588503,1452912909
oipuyjhg,0,5,0.0,0,0,,1257432093,1452888474
oirowd,0,1,0.0,2,0,,1322808276,1452898664
oisadiusahd,0,1,0.0,0,1,,1386477913,1452919281
oisdk,0,21,0.0,0,0,,1439742907,1453171842
oishigreentea,0,1,0.0,1,0,,1312695542,1452895688
oisin,,20,0.0,2,8,"Co-founder and COO of Localmint. We help consumers to find store locations and opening hours quickly and easily no matter what device they are using. http://www.localmint.com/",1409235845,1450207814
oisinjames,0,1,0.0,0,0,,1427471751,1453167911
oisinkim,0,2,0.0,0,0,,1371635434,1453165109
oisino,,36,0.0,1,13,"I help run Bootstrapheroes.com we build some of the top apps for Shopify",1323740663,1450207814
oismail91,0,1,0.0,0,0,,1367115460,1453174698
oisyn,0,13,0.0,0,0,,1430742761,1453168762
oit,0,2,0.0,0,1,"Write Powershell, Python, Java, C#",1366219393,1452911791
oitozero,,5,0.0,9,0,http://oitozero.com,1374776927,1450207814
oiu02dgfc,0,1,0.0,1,0,,1312594941,1452895595
oiu87y6trtyuiop,0,1,0.0,0,1,,1289092056,1452890538
oiubhn,0,4,0.0,0,0,,1257969991,1452888557
oiuhjyftgrdgh,0,130,0.0,0,11,,1295372545,1452892097
oiuhjygtfghjnmk,0,61,0.0,0,11,,1288198283,1452890432
oiuhyjtgfhjkl,0,16,0.0,0,5,,1278947509,1452889472
oiuifbcssyyjh77,0,1,0.0,0,0,,1424870284,1453166593
oiujhygtfyhjuk,0,65,0.0,0,7,,1289932478,1452891611
oiujhygtyhuji,0,15,0.0,0,5,,1290715651,1452891611
oiujmngbvfgh,0,42,0.0,0,4,,1287969933,1452890369
oiujyhgtfrt,0,4,0.0,0,5,,1295975035,1452892125
oiuswv,0,2,0.0,0,0,,1447345755,1453173950
oiuyftgrghjk,0,15,0.0,0,9,,1288902228,1452890538
oiuygfhjnm,0,9,0.0,0,0,,1259718989,1452888609
oiuygtfrtghyju,0,86,3.0,0,31,,1283959515,1452889947
oiuygtyhujik,0,-9,0.0,0,1,,1272692171,1452889175
oiuyhftgrghj,0,1,0.0,0,1,,1282591485,1452889839
oiuyhgfthyujik,0,3,0.0,0,1,,1290788864,1452891611
oiuyhgftrhyjuk,0,19,0.0,0,4,,1288716413,1452890538
oiuyhgnjm,0,4,0.0,0,1,,1265864504,1452888852
oiuyhgrftgthyju,0,6,0.0,0,4,,1290105848,1452891394
oiuyhgtfryhuj,0,59,0.0,0,10,,1290035034,1452891611
oiuyhgthj,0,1,0.0,0,1,,1284737078,1452889988
oiuyhgthjk,0,1,0.0,0,1,,1315512774,1452896455
oiuyhgthyjuki,0,80,0.0,0,8,,1288628206,1452890491
oiuyhtfrgtjhk,0,13,0.0,0,4,,1281403941,1452889716
oiuyhtgyhuj,0,21,0.0,0,5,,1298998453,1452892569
oiuyt1,0,2,0.0,0,1,,1368202701,1452912297
oiuytfgvbhjnk,0,8,0.0,0,5,,1271775316,1452889144
oiuytgfhj,0,2,0.0,0,2,,1262368215,1452888684
oiuytgfhjk,0,5,0.0,0,0,,1258946978,1452888609
oiuytgfhn,0,0,0.0,0,0,,1260160101,1452888647
oiuytgfrgh,0,23,0.0,0,7,,1283875095,1452889947
