ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
FEBlog,0,36,0.0,25,11,"I'm running a blog dedicated to Self Reconfiguring Modular Robotics. I think that SRCMR is going to bring about massive change and I enjoy documenting my explorations.",1252938595,
FEEhrsam,0,1,0.0,3,0,,1344530163,
FELICIA-JOY,0,1,0.0,0,4,"Faith-filled, loud-laughing adventurer, writer, social scientist and entrepreneur.",1376055146,
FEMInc,0,1,0.0,1,0,,1428963862,1428964050
FENGERHTF,0,1,0.0,3,0,,1307387931,
Fe0,0,1,0.0,1,0,,1355108211,
Feanim,0,562,1.0,18,17,,1325357766,1412957841
Fear,0,1,0.0,1,0,,1319162423,
Fear-The-N8V,0,3,0.0,0,3,,1413395122,1413435734
FearMeForIAmDan,0,1,0.0,0,0,,1355181753,1453175215
Fearless_Shultz,0,1,0.0,0,1,,1379289140,
FearofSuccess,0,2,0.0,0,2,,1302713467,
Feathaweight,0,1,0.0,2,0,,1359154968,
FeathersMcGraw,0,2,0.0,0,1,,1291042428,
FeatureRush,0,19,0.0,0,14,,1370279175,1434734807
FeatureSet,0,1,0.0,1,0,,1304111397,
Featurecreep,0,2,0.0,0,2,,1410952946,1419190576
Febert,0,1,0.0,0,1,,1201414391,
FedRegister,0,304,3.25,0,145,,1372772351,
Fede_V,0,2039,3.22727,20,257,"Researcher.  Systems biology, open science, data analysis, machine learning and effective altruism.  E-mail: 5a308f7e &#x27;at&#x27; opayq.com",1379446667,1452440384
FedererFan,0,1,0.0,1,0,,1373744927,
FedericoElles,0,14,0.0,4,14,"Creator of 3x3Links and Speed Dial Folder. Google fanboy. Currently working on the ultimate task mgmt tool and a HTML5 local multiplayer game framework.",1294318987,1422172963
Fedjmike,0,1,0.0,0,1,,1444313609,1444313699
Fedons,0,85,0.0,11,14,"Find me here:<p>federico at benedet.to",1279289024,1443138586
Fedor,0,2,0.0,0,1,,1332550129,
Fedoranimus,0,1,0.0,1,0,,1408454791,
Fedorasupreme,0,-1,0.0,0,1,,1423801311,1423825110
FeeTinesAMady,0,201,0.0,0,118,,1385021062,1425917147
Feeble,0,176,0.0,6,24,,1243855150,1434022862
FeedsBlogger,0,1,0.0,9,0,,1318658060,
FeelTheBern,0,2,0.0,0,0,,1453127837,1453282983
FeelXSoftware,0,1,0.0,4,0,"Hi. I&#x27;m Felix.\nMaking Apps. Doing Stuff. Love to create Things. Living Connected. Interested in the World. Being Creative.",1423433712,1428502376
Feelit,0,1,0.0,1,0,,1381076324,1427858344
FeelsGoodMan,0,14,0.0,0,3,,1309099341,
FeelsGoodMan69,0,25,0.0,0,6,,1306110925,
Feenstra,0,4,0.0,0,3,"BA and SYS Admin/Dev on HP3000/MANMAN",1366219617,
FeepingCreature,0,237,0.0,0,115,,1191046532,1452607874
FeinKrepp,0,1,0.0,0,1,,1392218798,
Feint1,0,1,0.0,0,2,,1349148184,
Feinux,0,4,0.0,0,7,"Not use Facebook. Twitter: @shellehs  http://www.hackernewsers.com/users/Feinux.html",1308641056,
Fej,0,1,0.0,1,0,,1452638205,1452638322
Fejumm,0,2,0.0,8,0,,1434953220,1436268889
