ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
KC8ZKF,0,2249,2.45455,87,343,"rich at walnutbeach.com",1235742591,1449165458
KC963,0,1,0.0,0,1,,1403217227,1413070616
KCAnderson,0,1,0.0,0,3,"College is hard enough without having to worry about where to live, the safety of a neighborhood, the accountability of the landlord, the fair pricing of an apartment. MyCollegeRent.com eliminates the headache and stress, and saves precious time spent on finding a secure apartment in walking distance of campus.",1364912894,
KCDz,0,5,0.0,0,1,,1378044193,
KCGS,0,1,0.0,2,0,,1325504925,
KCG_TTT,0,2,0.0,0,1,,1449024257,1449030028
KCGeek,0,1,0.0,0,1,,1351810610,
KCatterlin,0,1,0.0,0,1,,1394667328,
KClough,0,17,0.0,0,3,,1245266291,
kc0bfv,0,20,0.0,0,14,,1325179750,1452899681
kc102kcpu,0,1,0.0,3,0,,1336460584,1452902858
kc2zuf,0,4,0.0,0,0,,1430144855,1453168510
kc5tja,0,46,0.0,0,26,"Software/test engineer in San Francisco / bay area.",1187892732,1187892732
kc87750,0,1,0.0,0,1,,1335273579,1452902371
kc99,0,1,0.0,0,1,,1395763955,1452922468
kcaffrey,0,2,0.0,1,0,,1300404417,1452892737
kcaher,0,1,0.0,0,0,8k,1401378834,1453171141
kcaluru,0,4,0.0,0,0,,1394643167,1453172519
kcanini,,42,0.0,0,15,,1385432405,1450207814
kcarlton,,5,0.0,0,1,,1394520943,1450207814
kcarnold,,4,0.0,0,2,,1413833249,1450207814
kcarrco,0,1,0.0,1,0,,1313511146,1452895902
kcarroll04,0,1,0.0,1,1,,1290200574,1452891394
kcarruthers,,5,0.0,0,5,"[ my public key: https://keybase.io/kcarruthers; my proof: https://keybase.io/kcarruthers/sigs/Pd_IoflSfdc1sC2CrONnHDz-79X3Qz9Nvq441hDPobo ]",1329719054,1450207814
kcart,0,10,0.0,0,0,,1424181039,1453168177
kcarter80,0,10,0.0,0,0,,1343415714,1453174640
