ID,Karma,About,Created,Updated
rq,3,,1301244919,1452893696
rqbanerjee,1,,1434027874,1453169848
rqebmm,447,,1391576442,1452547973
rqfowler,-4,,1357839123,1452911832
rqin,1,,1444226340,1453172880
rqk7sWvM,-4,,1434270711,1453169914
rqphqel,10,http://raphaelbastide.com,1336494754,1450207814
rqualls,1,,1237337754,1452887288
rquantz,1669,"I&#x27;m a freelance musician and web developer",1298348362,1452326521
rquesada,0,,1229476444,1452889775
rquintas,1,,1339860708,1450207814
rquirk,433,"@richq | http://quirk.es",1260638490,1450207814
rqvgjcfm,2,,1425863243,1453166972
rqwer,2,,1345483341,1452905352
rqwerwqerwr,3,,1368283863,1452912297
